Amphilophus sagittae
Anolis carolinensis
Astatotilapia burtoni
Buteo buteo
Calamospiza melanocorys
Canis lupus familiaris
Cardinalis cardinalis
Cichlasoma citrinellum
Cichlasoma nigrofasciatum
Ctenophorus decresii
Cyanistes caeruleus
Erythrura gouldiae
Euplectes ardens
Ficedula hypoleuca
Gallus gallus domesticus
Gambusia holbrooki
Gasterosteus aculeatus
Haemorhous mexicanus
Haplochromis paludinosus
Lacerta vivipara
Luscinia cyanura
Malurus amabilis
Malurus melanocephalus
Manacus candei
Manacus vitellinus
Melospiza melodia
Mnais costalis
Mus musculus
Neogonodactylus oerstedii
Neolamprologus pulcher
Oophaga pumilio
Oreochromis niloticus
Pachydiplax longipennis
Passer domesticus
Pelvicachromis pulcher
Phoenicoparrus minor
Phymactis clematis
Plethodon cinereus
Podarcis siculus
Poecilia reticulata
Polistes gallicus
Pseudemoia entrecasteauxii
Salmo salar
Sceloporus occidentalis
Sceloporus undulatus
Serinus serinus
Testudo hermanni
Tropidurus semitaeniatus
Urosaurus graciosus
Urosaurus ornatus
Zonotrichia albicollis
